'Контрольный номер','001',NULL,' ',NULL,1
'Контрольный номер','001',NULL,'0',NULL,2
'Дата корректировки','005',NULL,' ',NULL,3
'Дата корректировки','005',NULL,'0',NULL,4
'Кодируемые данные','008',NULL,' ',NULL,5
'Кодируемые данные','008',NULL,'0',NULL,6
'Индекс ISBN','020',NULL,' ',NULL,7
'ISBN','020',NULL,'a',NULL,8
'Цена','020',;,'c',NULL,9
'Денежная единица','020',NULL,'d',NULL,10
'Валютная цена','020',NULL,'e',NULL,11
'Залог,руб','020',NULL,'f',NULL,12
'Дата внес.залога','020',NULL,'g',NULL,13
'Дата возвр.залога','020',NULL,'i',NULL,14
'Номер издателя','028',NULL,' ',NULL,15
'Номер издателя','028',NULL,'a',NULL,16
'Источник N издателя','028',NULL,'b',NULL,17
'Источник каталогиз.','040',NULL,' ',NULL,18
'Служба первич.кат.','040',NULL,'a',NULL,19
'Код языка','040',NULL,'b',NULL,20
'Служба перезаписи','040',NULL,'c',NULL,21
'Орг.изм.запись','040',NULL,'d',NULL,22
'Ответств-й:Отд./ФИО','040',NULL,'e',NULL,23
'Код языка издания','041',NULL,' ',NULL,24
'Код языка текста','041',NULL,'a',NULL,25
'Код языка предисловия','041',NULL,'b',NULL,26
'Код яз.текст пен./реч.','041',NULL,'d',NULL,27
'Код яз.либретто','041',NULL,'e',NULL,28
'Код языка содержания','041',NULL,'f',NULL,29
'Код яз.сопров.матер.','041',NULL,'g',NULL,30
'Код языка оригинала','041',NULL,'h',NULL,31
'Индекс УДК','080',NULL,' ',NULL,32
'Индекс УДК','080',NULL,'a',NULL,33
'Шифры','090',NULL,' ',NULL,34
'Полочн.индекс','090',NULL,'a',NULL,35
'Кат.индекс','090',NULL,'c',NULL,36
'Инвентарный номер','090',NULL,'e',NULL,37
'Сигла хранения','090',NULL,'f',NULL,38
'Формат','090',NULL,'h',NULL,39
'Номер фонда','090',NULL,'w',NULL,40
'Авторский знак','090',NULL,'x',NULL,41
'Индексы/коды','091',NULL,' ',NULL,42
'Индекс ББК','091',+,'a',NULL,43
'Индекс ТБК','091',+,'b',NULL,44
'Код МКИ','091',NULL,'c',NULL,45
'Индекс ГАСНТИ','091',NULL,'d',NULL,46
'Индикатор ценности','091',NULL,'e',NULL,47
'Приоритет рубрики','091',NULL,'f',NULL,48
'Приоритет док-та','091',NULL,'g',NULL,49
'Возрастная адресация','091',NULL,'i',NULL,50
'Сохранность','094',NULL,' ',NULL,51
'Сохранность','094',NULL,'a',NULL,52
'Дата получения','094',NULL,'b',NULL,53
'Дата списания','094',NULL,'c',NULL,54
'Дата передачи','094',NULL,'d',NULL,55
'Оператор','097',NULL,' ',NULL,56
'Оператор','097',NULL,'b',NULL,57
'Периодические издания','099',NULL,' ',NULL,58
'Индекс','099',NULL,'a',NULL,59
'Название','099',NULL,'b',NULL,60
'Адрес организации','099',NULL,'c',NULL,61
'Название организации','099',NULL,'d',NULL,62
'Год','099',NULL,'e',NULL,63
'Количество комплектов','099',NULL,'f',NULL,64
'Цена','099',NULL,'h',NULL,65
'Количество месяцев','099',NULL,'y',NULL,66
'Сигла хранения','099',NULL,'x',NULL,67
'Отметка о получении','099',NULL,'z',NULL,68
'Автор','100',NULL,' ',NULL,69
'Автор','100',NULL,'a',NULL,70
'Династ.номер','100',NULL,'b',NULL,71
'Титул(звания)','100',NULL,'c',NULL,72
'Дата','100',NULL,'d',NULL,73
'Роль лиц','100',NULL,'e',NULL,74
'Полное имя','100',NULL,'q',NULL,75
'Дополнение','100',NULL,'u',NULL,76
'Автор-организация','110',NULL,' ',NULL,77
'Организация/юрисдик.','110',NULL,'a',NULL,78
'Подчиненная ед.','110',NULL,'b',NULL,79
'Место','110',NULL,'c',NULL,80
'Дата','110',NULL,'d',NULL,81
'Проч.информация','110',NULL,'g',NULL,82
'Номер','110',NULL,'n',NULL,83
'Автор-мероприятие','111',NULL,' ',NULL,84
'Наименов.мероприятия','111',NULL,'a',NULL,85
'Место мероприятия','111',NULL,'c',NULL,86
'Дата мероприятия','111',NULL,'d',NULL,87
'Соподчин.единица','111',NULL,'e',NULL,88
'Дата работы','111',NULL,'f',NULL,89
'Проч.информация','111',NULL,'g',NULL,90
'N части/секции','111',NULL,'n',NULL,91
'N части/раздела','111',NULL,'p',NULL,92
'Унифицир.заглавие','240',NULL,' ',NULL,93
'Унифицир.загл.','240',NULL,'a',NULL,94
'Средство для исполн.','240',NULL,'m',NULL,95
'N части/раздела','240',NULL,'n',NULL,96
'Аранжировка','240',NULL,'o',NULL,97
'Назв.части/разд.','240',NULL,'p',NULL,98
'Перевод заглавия','242',NULL,' ',NULL,99
'Перевод заглавия','242',NULL,'a',NULL,100
'Продолж.пер.заглавия','242',NULL,'b',NULL,101
'Ответственность','242',NULL,'c',NULL,102
'Название части','242',NULL,'p',NULL,103
'Номер части','242',NULL,'n',NULL,104
'Код яз.заглавия','242',NULL,'y',NULL,105
'Заглавие','245',NULL,' ',NULL,106
'Заглавие','245',NULL,'a',NULL,107
'Продолж.заглавия','245',NULL,'b',NULL,108
'Ответственность','245',NULL,'c',NULL,109
'Даты произведения','245',NULL,'f',NULL,110
'Носитель','245',NULL,'h',NULL,111
'Номер части','245',NULL,'n',NULL,112
'Паралельное заглавие','245',NULL,'o',NULL,113
'Название части','245',NULL,'p',NULL,114
'Версия','245',NULL,'s',NULL,115
'Другая форма загл.','246',NULL,' ',NULL,116
'Другая форма загл.','246',NULL,'a',NULL,117
'Прод.др.фор.заглавия','246',NULL,'b',NULL,118
'Том,вып.и/или дата','246',NULL,'f',NULL,119
'Проч.инф-ция','246',NULL,'g',NULL,120
'Номер части','246',NULL,'n',NULL,121
'Название части','246',NULL,'p',NULL,122
'Сведения об издании','250',NULL,' ',NULL,123
'Осн.свед.об изд.','250',NULL,'a',NULL,124
'Доп.свед.об изд.','250',NULL,'b',NULL,125
'Представл.муз.произ.','254',NULL,' ',NULL,126
'Представл.муз.произ.','254',NULL,'a',NULL,127
'Страна произв-ль','257',NULL,' ',NULL,128
'Страна произв-ль','257',NULL,'a',NULL,129
'Выходные данные','260',NULL,' ',NULL,130
'Место издания','260',NULL,'a',NULL,131
'Издательство','260',NULL,'b',NULL,132
'Дата издания','260',NULL,'c',NULL,133
'Место печатания','260',NULL,'e',NULL,134
'Типография','260',NULL,'f',NULL,135
'Дата печатания','260',NULL,'g',NULL,136
'Физич.описание','300',NULL,' ',NULL,137
'Объем','300',NULL,'a',NULL,138
'Илл./тип воспроизв.','300',NULL,'b',NULL,139
'Формат','300',NULL,'c',NULL,140
'Вид переплета','300',NULL,'d',NULL,141
'Сопров.мат','300',NULL,'e',NULL,142
'Физ.опис.зв.записей','305',NULL,' ',NULL,143
'Объем','305',NULL,'a',NULL,144
'Др.физ.хар-ки','305',NULL,'b',NULL,145
'Размер','305',NULL,'c',NULL,146
'Продолжит.звук.зап.','306',NULL,' ',NULL,147
'Продолж.звук.зап.','306',NULL,'a',NULL,148
'Носитель','340',NULL,' ',NULL,149
'Матер.основа','340',NULL,'a',NULL,150
'Размеры','340',NULL,'b',NULL,151
'Матер.покрытия','340',NULL,'c',NULL,152
'Техника записи','340',NULL,'d',NULL,153
'Серия','440',NULL,' ',NULL,154
'Серия','440',NULL,'a',NULL,155
'Номер части','440',NULL,'n',NULL,156
'Название части','440',NULL,'p',NULL,157
'N тома, номера','440',NULL,'v',NULL,158
'ISSN серии','440',NULL,'x',NULL,159
'Примечания','500',NULL,' ',NULL,160
'Примечание','500',NULL,'a',NULL,161
'Библиография','504',NULL,' ',NULL,162
'Библиография','504',NULL,'a',NULL,163
'Форматир.содержан.','505',NULL,' ',NULL,164
'Форматир.содежание','505',NULL,'a',NULL,165
'Примеч.о соисполн.','508',NULL,' ',NULL,166
'Примеч.о соисполн.','508',NULL,'a',NULL,167
'Примечан.о ссылках','510',NULL,' ',NULL,168
'Примечан.о ссылках','510',NULL,'a',NULL,169
'Инф-ция об исполн.','511',NULL,' ',NULL,170
'Инф-ция об исполн.','511',NULL,'a',NULL,171
'Аннотация','520',NULL,' ',NULL,172
'Аннотация','520',NULL,'a',NULL,173
'Примеч.о цел.назн.','521',NULL,' ',NULL,174
'Примеч.о целев.назн.','521',NULL,'a',NULL,175
'Примеч.о доп.формах','530',NULL,' ',NULL,176
'Примеч.о доп.формах','530',NULL,'a',NULL,177
'Примеч.о воспроизв.','533',NULL,' ',NULL,178
'Тип воспроизведения','533',NULL,'a',NULL,179
'Место воспроизвед.','533',NULL,'b',NULL,180
'Ответств.учреждение','533',NULL,'c',NULL,181
'Дата воспроизведения','533',NULL,'d',NULL,182
'Физическое описание','533',NULL,'e',NULL,183
'Данные о серии','533',NULL,'f',NULL,184
'Примеч.о хранении','535',NULL,' ',NULL,185
'Хранилище','535',NULL,'a',NULL,186
'Почтов.адрес','535',NULL,'b',NULL,187
'Страна','535',NULL,'c',NULL,188
'Адрес телекоммун.','535',NULL,'d',NULL,189
'Код хранения','535',NULL,'g',NULL,190
'Тематические рубрики','650',NULL,' ',NULL,191
'Основная рубр.','650',NULL,'a',NULL,192
'Пр.гео.рубр.','650',NULL,'b',NULL,193
'Осн.подрубр.','650',NULL,'x',NULL,194
'Хрон.подрубр.','650',NULL,'y',NULL,195
'Гео.подрубр.','650',NULL,'z',NULL,196
'Ключевые слова','653',NULL,' ',NULL,197
'Ключевые слова','653',NULL,'a',NULL,198
'Указ.предм.рубрик','655',NULL,' ',NULL,199
'Жанр/форма','655',NULL,'a',NULL,200
'Другие авторы','700',NULL,' ',NULL,201
'Другие авторы','700',NULL,'a',NULL,202
'Династ.номер','700',NULL,'b',NULL,203
'Титул (звание)','700',NULL,'c',NULL,204
'Дата','700',NULL,'d',NULL,205
'Роль лиц','700',NULL,'e',NULL,206
'Полное имя','700',NULL,'q',NULL,207
'Дополнение','700',NULL,'u',NULL,208
'Другие организации','710',NULL,' ',NULL,209
'Организ./юрисдикция','710',NULL,'a',NULL,210
'Другие уровни','710',NULL,'b',NULL,211
'Место','710',NULL,'c',NULL,212
'Дата','710',NULL,'d',NULL,213
'Проч.информ.','710',NULL,'g',NULL,214
'Номер','710',NULL,'n',NULL,215
'Другие мероприятия','711',NULL,' ',NULL,216
'Название мероприятия','711',NULL,'a',NULL,217
'Место мероприятия','711',NULL,'c',NULL,218
'Дата мероприятия','711',NULL,'d',NULL,219
'Соподчин.единица','711',NULL,'e',NULL,220
'Дата работы','711',NULL,'f',NULL,221
'N части/секции','711',NULL,'n',NULL,222
'N части/раздела','711',NULL,'p',NULL,223
'Источник информации','773',NULL,' ',NULL,224
'Место и дата издания','773',NULL,'d',NULL,225
'Прочая информация','773',NULL,'g',NULL,226
'Название источника','773',NULL,'t',NULL,227
'Штрих-код','876',NULL,' ',NULL,228
'Цена','876',NULL,'c',NULL,229
'Штрих-код','876',NULL,'p',NULL,230
'Макрообъекты','900',NULL,' ',NULL,231
'Макрообъекты','900',NULL,'a',NULL,232
'Данные о заказе','990',NULL,' ',NULL,233
'Автор заказа','990',NULL,'a',NULL,234
'Заказано','990',NULL,'b',NULL,235
'Приоритет заказа','990',NULL,'c',NULL,236
'Дата исполнения','990',NULL,'d',NULL,237
'Получено на ИУ','990',NULL,'e',NULL,238
'Даты поступлений','990',NULL,'f',NULL,239
'Размещение заказа','990',NULL,'g',NULL,240
'N записи в КСУ для Б/У','990',NULL,'h',NULL,241
'Количество экземпляров','990',NULL,'j',NULL,242
'Состоит на УК','990',NULL,'k',NULL,243
'Номер УК','990',NULL,'n',NULL,244
'N записи в КСУ для И/У','990',NULL,'t',NULL,245
'Состоит на ИУ','990',NULL,'v',NULL,246
'Получено на УК','990',NULL,'w',NULL,247
'Выбыло','990',NULL,'z',NULL,248
'Персоналия','998',NULL,' ',NULL,249
'Персоналия','998',NULL,'a',NULL,250
'Накладные','902',,'a',NULL,251
'Источник поступления','901',,'a',NULL,252
'Специальность (направление)','903',,'a',NULL,253
'Кафедра','903',NULL,'d',NULL,254
'Вид (рабочая программа)','903',NULL,'f',NULL,255
'Издательский номер','904',NULL,'a',NULL,256
